short_name,ticker,company_id,country,sector,sub_industry
NMDC ENERGY,NMDCENR,NMDCENR DH Equity,AE,Energy,Oil & Gas Equipment & Services
NMDC GROUP,NMDC,NMDC DH Equity,AE,Industrials,Construction & Engineering
NOOR FINANCIAL I,NOOR,NOOR KK Equity,KW,Financials,Asset Management & Custody Banks
NORTHERN REGION,3004,NORTHCEM AB Equity,SA,Materials,Construction Materials
OMAN CABLES INDU,OCAI,OCAI OM Equity,OM,Industrials,Electrical Components & Equipment
OMAN CEMENT CO,OCOI,OCOI OM Equity,OM,Materials,Construction Materials
OMAN FLOUR MILLS,OFMI,OFMI OM Equity,OM,Consumer Staples,Packaged Foods & Meats
OMAN TELECOMMUNI,OTEL,OTEL OM Equity,OM,Communication Services,Integrated Telecommunication Services
OMINVEST,OMVS,OMVS OM Equity,OM,Financials,Diversified Financial Services
OOREDOO,ORDS,ORDS OM Equity,OM,Communication Services,Wireless Telecommunication Services
OOREDOO QSC,ORDS,ORDS QD Equity,QA,Communication Services,Integrated Telecommunication Services
OQ BASE INDUSTRI,OQBI,OQBI OM Equity,OM,Materials,Diversified Chemicals
OQ GAS NETWORKS,OQGN,OQGN OM Equity,OM,Energy,Oil & Gas Storage & Transportation
ORASCOM CONSTRUC,ORAS,ORAS EC Equity,AE,Industrials,Construction & Engineering
PARKIN CO PJSC,PARKIN,PARKIN DB Equity,AE,Industrials,Environmental & Facilities Services
PERFECT PRESENTA,7204,2P AB Equity,SA,Information Technology,IT Consulting & Other Services
PHOENIX GROUP PL,PHX,PHX DH Equity,AE,Information Technology,Application Software
PHOENIX POWER CO,PHPC,PHPC OM Equity,OM,Utilities,Independent Power Producers & Energy Traders
POWER & WATER UT,2083,MARAFIQ AB Equity,SA,Utilities,Multi-Utilities
PRESIGHT AI HOLD,PRESIGHT,PRESIGHT DH Equity,AE,Information Technology,IT Consulting & Other Services
PURE HEALTH HOLD,PUREHEALTH,PUREHEAL DH Equity,AE,Health Care,Health Care Facilities
QASSIM CEMENT,3040,QACCO AB Equity,SA,Materials,Construction Materials
QATAR ALUMINUM M,QAMC,QAMC QD Equity,QA,Materials,Aluminum
QATAR ELECTRICIT,QEWS,QEWS QD Equity,QA,Utilities,Multi-Utilities
QATAR FUEL QSC,QFLS,QFLS QD Equity,QA,Energy,Oil & Gas Refining & Marketing
QATAR GAS TRANSP,QGTS,QGTS QD Equity,QA,Energy,Oil & Gas Storage & Transportation
QATAR INTERNATIO,QIIK,QIIK QD Equity,QA,Financials,Diversified Banks
QATAR ISLAMIC BA,QIBK,QIBK QD Equity,QA,Financials,Diversified Banks
QATAR ISLAMIC IN,QISI,QISI QD Equity,QA,Financials,Multi-line Insurance
QATAR NATIONAL,QNCD,QNCD QD Equity,QA,Materials,Construction Materials
QATAR NATIONAL B,QNBK,QNBK QD Equity,QA,Financials,Diversified Banks
QATAR NAVIGATION,QNNS,QNNS QD Equity,QA,Industrials,Marine Transportation
QATARI INVESTORS,QIGD,QIGD QD Equity,QA,Materials,Construction Materials
RABIGH REFINING,2380,PETROR AB Equity,SA,Energy,Oil & Gas Refining & Marketing
RAK PROPERTIES,RAKPROP,RAKPROP DH Equity,AE,Real Estate,Real Estate Development
RAS AL KHAIMAH C,RAKCEC,RAKCEC DH Equity,AE,Industrials,Building Products
RASAN INFORMATIO,8313,RASAN AB Equity,SA,Financials,Insurance Brokers
RASIYAT HOLDING,RASIYAT,RASIYAT KK Equity,KW,Financials,Asset Management & Custody Banks
RAYDAN FOOD CO,6012,RAYDAN AB Equity,SA,Consumer Discretionary,Restaurants
RENAISSANCE SERV,RNSS,RNSS OM Equity,OM,Industrials,Diversified Support Services
RETAL URBAN DEVE,4322,RETAL AB Equity,SA,Real Estate,Real Estate Development
RIYAD BANK,1010,RIBL AB Equity,SA,Financials,Diversified Banks
RIYAD REIT FUND,4330,RYDREIT AB Equity,SA,Real Estate,Diversified REITs
RIYADH CABLES GR,4142,RIYADHCA AB Equity,SA,Industrials,Electrical Components & Equipment
RIYADH CEMENT CO,3092,SAWCEM AB Equity,SA,Materials,Construction Materials
SABIC,2010,SABIC AB Equity,SA,Materials,Commodity Chemicals
SABIC AGRI,2020,SAFCO AB Equity,SA,Materials,Fertilizers & Agricultural Chemicals
SADAFCO,2270,SADAFCO AB Equity,SA,Consumer Staples,Packaged Foods & Meats
SADR LOGISTICS C,1832,SADR AB Equity,SA,Industrials,Office Services & Supplies
SAHARA INTERNATI,2310,SIPCHEM AB Equity,SA,Materials,Commodity Chemicals
SAL SAUDI LOGIST,4263,SAL AB Equity,SA,Industrials,Air Freight & Logistics
SALAM INTERNATIO,SIIS,SIIS QD Equity,QA,Financials,Multi-Sector Holdings
SALAMA COOPERATI,8050,SALAMA AB Equity,SA,Financials,Multi-line Insurance
SALHIAHIA REAL,SRE,SRE KK Equity,KW,Real Estate,Real Estate Operating Companies
SALIK CO PJSC,SALIK,SALIK DB Equity,AE,Industrials,Highways & Railtracks
SAPTCO,4040,SAPTCO AB Equity,SA,Industrials,Passenger Ground Transportation
SASCO,4050,SACO AB Equity,SA,Consumer Discretionary,Automotive Retail
SAUDI ADVANCED I,2120,SAIC AB Equity,SA,Financials,Multi-Sector Holdings
SAUDI ARABIA REF,2030,SARCO AB Equity,SA,Energy,Oil & Gas Refining & Marketing
SAUDI ARABIAN AM,2160,SAAC AB Equity,SA,Industrials,Industrial Machinery & Supplies & Components
SAUDI ARABIAN MI,1211,MAADEN AB Equity,SA,Materials,Diversified Metals & Mining
SAUDI ARAMCO BAS,2223,LUBEREF AB Equity,SA,Materials,Commodity Chemicals
SAUDI AWWAL BANK,1060,SABB AB Equity,SA,Financials,Diversified Banks
SAUDI CABLE CO,2110,SCACO AB Equity,SA,Industrials,Electrical Components & Equipment
SAUDI CEMENT,3030,SACCO AB Equity,SA,Materials,Construction Materials
SAUDI CERAMIC CO,2040,SCERCO AB Equity,SA,Industrials,Building Products
SAUDI CHEMICAL C,2230,CHEMICAL AB Equity,SA,Health Care,Health Care Distributors
SAUDI CO FOR HAR,4008,SCH AB Equity,SA,Consumer Discretionary,Home Improvement Retail
SAUDI ELECTRICIT,5110,SECO AB Equity,SA,Utilities,Electric Utilities
SAUDI FISHERIES,6050,SFICO AB Equity,SA,Consumer Staples,Packaged Foods & Meats
SAUDI GERMAN HEA,4009,MEH AB Equity,SA,Health Care,Health Care Facilities
SAUDI GROUND SER,4031,SGS AB Equity,SA,Industrials,Airport Services
SAUDI IND INVEST,2250,SIIG AB Equity,SA,Materials,Commodity Chemicals
SAUDI INDUS EXPO,4140,SIECO AB Equity,SA,Industrials,Trading Companies & Distributors
SAUDI INVESTMENT,1030,SIBC AB Equity,SA,Financials,Diversified Banks
SAUDI KAYAN PETR,2350,KAYAN AB Equity,SA,Materials,Commodity Chemicals
SAUDI MANPOWER S,1834,SMASCO AB Equity,SA,Industrials,Human Resource & Employment Services
SAUDI MARKETING,4006,SMARKETI AB Equity,SA,Consumer Staples,Food Retail
SAUDI NATIONAL B,1180,SNB AB Equity,SA,Financials,Diversified Banks
SAUDI PAPER MANU,2300,SPM AB Equity,SA,Materials,Paper Products
SAUDI PHARMACEUT,2070,SPIMACO AB Equity,SA,Health Care,Pharmaceuticals
SAUDI RE FOR COO,8200,SAUDIRE AB Equity,SA,Financials,Reinsurance
SAUDI RESEARCH &,4210,RESEARCH AB Equity,SA,Communication Services,Publishing
SAUDI STEEL PIPE,1320,SSP AB Equity,SA,Materials,Steel
SAUDI TADAWUL GR,1111,TADAWULG AB Equity,SA,Financials,Financial Exchanges & Data
SAUDI TELECOM CO,7010,STC AB Equity,SA,Communication Services,Integrated Telecommunication Services
SAUDI VITRIFIED,2360,SVCP AB Equity,SA,Materials,Construction Materials
SAVOLA,2050,SAVOLA AB Equity,SA,Consumer Staples,Packaged Foods & Meats
SCIENTIFIC & MED,4014,EQUIPMEN AB Equity,SA,Health Care,Health Care Services
SEDCO CAPITAL RE,4344,SEDCO AB Equity,SA,Real Estate,Diversified REITs
SEERA GROUP HOLD,1810,SEERA AB Equity,SA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SEMBCORP SALALAH,SSPW,SSPW OM Equity,OM,Utilities,Independent Power Producers & Energy Traders
SHAMAL AZ-ZOUR A,AZNOULA,AZNOULA KK Equity,KW,Utilities,Independent Power Producers & Energy Traders
SHAMS,4170,TECO AB Equity,SA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SHARJAH ISLAMIC,SIB,SIB DH Equity,AE,Financials,Diversified Banks
SHL FINANCE CO,1183,SHL AB Equity,SA,Financials,Commercial & Residential Mortgage Finance
SHUAA CAPITAL,SHUAA,SHUAA DB Equity,AE,Financials,Diversified Capital Markets
SIDC,2130,SIDC AB Equity,SA,Consumer Discretionary,Home Furnishings
SINAD HOLDING,4080,ATTMCO AB Equity,SA,Consumer Staples,Packaged Foods & Meats
SOHAR INTERNATIO,BKSB,BKSB OM Equity,OM,Financials,Diversified Banks
SOUTHERN PROVINC,3050,SOCCO AB Equity,SA,Materials,Construction Materials
SPACE42 PLC,SPACE42,SPACE42 DH Equity,AE,Communication Services,Alternative Carriers
SPINNEYS 1961 HO,SPINNEYS,SPINNEYS DB Equity,AE,Consumer Staples,Food Retail
SUMOU REAL ESTAT,4323,SRE AB Equity,SA,Real Estate,Real Estate Development
SUSTAINED INFRAS,2190,SISCO AB Equity,SA,Industrials,Marine Ports & Services
TAALEEM HOLDINGS,TAALEEM,TAALEEM DB Equity,AE,Consumer Discretionary,Education Services
TABREED,TABREED,TABREED DB Equity,AE,Utilities,Water Utilities
TABUK AGRICULTUR,6040,TAACO AB Equity,SA,Consumer Staples,Agricultural Products & Services
TABUK CEMENT CO,3090,TACCO AB Equity,SA,Materials,Construction Materials
TAIBA INVESTMENT,4090,TAIBA AB Equity,SA,Real Estate,Diversified Real Estate Activities
TAKWEEN ADVANCED,1201,TAKWEEN AB Equity,SA,Materials,"Metal, Glass & Plastic Containers"
TALABAT HOLDING,TALABAT,TALABAT DB Equity,AE,Consumer Discretionary,Restaurants
TAMKEEN HUMAN RE,1835,TAMKEEN AB Equity,SA,Industrials,Human Resource & Employment Services
TANMIAH FOOD CO,2281,TANMIAH AB Equity,SA,Consumer Staples,Packaged Foods & Meats
TECOM GROUP PJSC,TECOM,TECOM DB Equity,AE,Real Estate,Real Estate Operating Companies
THEEB RENT A CAR,4261,THEEB AB Equity,SA,Industrials,Passenger Ground Transportation
UMM AL-QURA CEME,3005,UACC AB Equity,SA,Materials,Construction Materials
UNION PROPERTIES,UPP,UPP DB Equity,AE,Real Estate,Diversified Real Estate Activities
UNITED DEVELOPME,UDCD,UDCD QD Equity,QA,Real Estate,Real Estate Development
UNITED ELECTRONI,4003,EXTRA AB Equity,SA,Consumer Discretionary,Computer & Electronics Retail
UNITED INTERNATI,4260,BUDGET AB Equity,SA,Industrials,Passenger Ground Transportation
UNITED WIRE FACT,1301,ASLAK AB Equity,SA,Materials,Steel
VODAFONE QATAR,VFQS,VFQS QD Equity,QA,Communication Services,Wireless Telecommunication Services
WAFRAH FOR INDUS,2100,FPCO AB Equity,SA,Consumer Staples,Packaged Foods & Meats
WAHA CAPITAL,WAHA,WAHA DH Equity,AE,Financials,Asset Management & Custody Banks
WALAA COOPERATIV,8060,WALAA AB Equity,SA,Financials,Multi-line Insurance
WARBA BANK,WARBABANK,WARBABAN KK Equity,KW,Financials,Diversified Banks
WATANIYA INSURAN,8300,WATAN AB Equity,SA,Financials,Multi-line Insurance
WIDAM FOOD CO,WDAM,WDAM QD Equity,QA,Consumer Staples,Packaged Foods & Meats
YAMAMA CEMENT CO,3020,YACCO AB Equity,SA,Materials,Construction Materials
YANBU CEMENT CO,3060,YNCCO AB Equity,SA,Materials,Construction Materials
YANBU NATIONAL P,2290,YANSAB AB Equity,SA,Materials,Commodity Chemicals
ZAHRAT AL WAHA F,3007,OASIS AB Equity,SA,Materials,"Metal, Glass & Plastic Containers"
ZAMIL INDUSTRIAL,2240,ZIIC AB Equity,SA,Materials,Steel
