short_name,ticker,company_id,country,sector,sub_industry
AMERICANA RESTAU,AMR,AMR DH Equity,AE,Consumer Discretionary,Restaurants
AMLAK FINANCE,AMLAK,AMLAK DB Equity,AE,Financials,Commercial & Residential Mortgage Finance
AMLAK INTERNATIO,1182,AMLAK AB Equity,SA,Financials,Commercial & Residential Mortgage Finance
ANAAM INTERNATIO,4061,ANAAM AB Equity,SA,Consumer Staples,Food Distributors
APEX INVESTMENT,APEX,APEX DH Equity,AE,Materials,Construction Materials
ARAB NATL BANK,1080,ARNB AB Equity,SA,Financials,Diversified Banks
ARAB SEA INFORMA,7201,ARABSEA AB Equity,SA,Information Technology,Application Software
ARABIA INSURANCE,8160,AICC AB Equity,SA,Financials,Multi-line Insurance
ARABIAN CEMENT,3010,ARCCO AB Equity,SA,Materials,Construction Materials
ARABIAN CENTRES,4321,CENOMICE AB Equity,SA,Real Estate,Real Estate Operating Companies
ARABIAN CONTRACT,4071,ALARABIA AB Equity,SA,Communication Services,Advertising
ARABIAN DRILLING,2381,ARABIAND AB Equity,SA,Energy,Oil & Gas Drilling
ARABIAN INTERNET,7202,SOLUTION AB Equity,SA,Information Technology,IT Consulting & Other Services
ARABIAN MILLS FO,2285,ARABIANM AB Equity,SA,Consumer Staples,Packaged Foods & Meats
ARABIAN PIPES CO,2200,APCO AB Equity,SA,Materials,Steel
ARABIAN SHIELD,8070,SHIELD AB Equity,SA,Financials,Multi-line Insurance
ARMAH SPORTS CO,9590,ARMAH AB Equity,SA,Consumer Discretionary,Leisure Facilities
ARRIYADH DEVELOP,4150,ADCO AB Equity,SA,Real Estate,Real Estate Operating Companies
ARTEX INDUSTRIAL,2340,ALABDUL AB Equity,SA,Consumer Discretionary,Home Furnishings
ARZAN FINANCIAL,ARZAN,ARZAN KK Equity,KW,Financials,Consumer Finance
ASH-SHARQIYAH DE,6060,ASACO AB Equity,SA,Consumer Staples,Agricultural Products & Services
ASTRA INDUSTRIAL,1212,ASTRA AB Equity,SA,Industrials,Industrial Conglomerates
ATAA EDUCATIONAL,4292,ATAA AB Equity,SA,Consumer Discretionary,Education Services
AYYAN INVESTMENT,2140,AADC AB Equity,SA,Consumer Staples,Packaged Foods & Meats
BAAN HOLDING GRO,1820,AATD AB Equity,SA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BAAZEEM TRADING,4051,BAAZEEM AB Equity,SA,Consumer Discretionary,Distributors
BALADNA,BLDN,BLDN QD Equity,QA,Consumer Staples,Packaged Foods & Meats
BANK ALBILAD,1140,ALBI AB Equity,SA,Financials,Diversified Banks
BANK AL-JAZIRA,1020,BJAZ AB Equity,SA,Financials,Diversified Banks
BANK DHOFAR SAOG,BKDB,BKDB OM Equity,OM,Financials,Diversified Banks
BANK NIZWA,BKNZ,BKNZ OM Equity,OM,Financials,Regional Banks
BANK OF SHARJAH,BOS,BOS DH Equity,AE,Financials,Diversified Banks
BANKMUSCAT SAOGG,BKMB,BKMB OM Equity,OM,Financials,Diversified Banks
BANQUE SAUDI FR,1050,BSF AB Equity,SA,Financials,Diversified Banks
BARWA REAL ESTAT,BRES,BRES QD Equity,QA,Real Estate,Diversified Real Estate Activities
BASIC CHEMICAL I,1210,BCI AB Equity,SA,Materials,Diversified Chemicals
BATIC INVESTMENT,4110,BATIC AB Equity,SA,Industrials,Industrial Conglomerates
BAWAN CO,1302,BAWAN AB Equity,SA,Industrials,Building Products
BBK BSC,BBK,BBK BI Equity,BH,Financials,Diversified Banks
BEYON BSC,BEYON,BEYON BI Equity,BH,Communication Services,Integrated Telecommunication Services
BEYOUT HOLDING C,BEYOUT,BEYOUT KK Equity,KW,Industrials,Human Resource & Employment Services
BINDAWOOD HOLDIN,4161,BINDAWOO AB Equity,SA,Consumer Staples,Consumer Staples Merchandise Retail
BONYAN REIT,4347,BONYAN AB Equity,SA,Real Estate,Diversified REITs
BOROUGE,BOROUGE,BOROUGE DH Equity,AE,Materials,Commodity Chemicals
BOUBYAN BANK K.S,BOUBYAN,BOUBYAN KK Equity,KW,Financials,Diversified Banks
BOUBYAN PETROCH,BPCC,BPCC KK Equity,KW,Materials,Commodity Chemicals
BOURSA KUWAIT SE,BOURSA,BOURSA KK Equity,KW,Financials,Financial Exchanges & Data
BUPA ARABIA,8210,BUPA AB Equity,SA,Financials,Life & Health Insurance
BURGAN BANK,BURG,BURG KK Equity,KW,Financials,Diversified Banks
BURJEEL HOLDINGS,BURJEEL,BURJEEL DH Equity,AE,Health Care,Health Care Facilities
BURUJ COOPERATIV,8270,BURUJ AB Equity,SA,Financials,Property & Casualty Insurance
CATRION CATERING,6004,CATERING AB Equity,SA,Industrials,Diversified Support Services
CITY CEMENT CO,3003,CITYC AB Equity,SA,Materials,Construction Materials
CO FOR COOPERATI,8010,TAWUNIYA AB Equity,SA,Financials,Life & Health Insurance
COMBINED GROUP C,CGC,CGC KK Equity,KW,Industrials,Construction & Engineering
COMMERCIAL BANK,CBQK,CBQK QD Equity,QA,Financials,Diversified Banks
COMMERCIAL REAL,ALTIJARIA,ALTIJARI KK Equity,KW,Real Estate,Diversified Real Estate Activities
DALLAH HEALTHCAR,4018,DALLAH AB Equity,SA,Health Care,Health Care Facilities
DANA GAS,DANA,DANA DH Equity,AE,Energy,Integrated Oil & Gas
DAR AL ARKAN REA,4300,ALARKAN AB Equity,SA,Real Estate,Real Estate Development
DERAYAH REIT,4339,DERAYAHR AB Equity,SA,Real Estate,Diversified REITs
DEVELOPMENT WORK,6013,DWF AB Equity,SA,Consumer Discretionary,Restaurants
DEYAAR DEVELOPME,DEYAAR,DEYAAR DB Equity,AE,Real Estate,Real Estate Development
DOHA BANK QPSC,DHBK,DHBK QD Equity,QA,Financials,Diversified Banks
DR SULAIMAN AL H,4004,SULAIMAN AB Equity,SA,Health Care,Health Care Facilities
DR. SOLIMAN ABDU,4017,FAKEEHCA AB Equity,SA,Health Care,Health Care Facilities
DUBAI ELECTRICIT,DEWA,DEWA DB Equity,AE,Utilities,Multi-Utilities
DUBAI FINANCIAL,DFM,DFM DB Equity,AE,Financials,Financial Exchanges & Data
DUBAI INVESTMENT,DIC,DIC DB Equity,AE,Industrials,Industrial Conglomerates
DUBAI ISLAMIC,DIB,DIB DB Equity,AE,Financials,Diversified Banks
DUBAI TAXI CO PJ,DTC,DTC DB Equity,AE,Industrials,Passenger Ground Transportation
DUKHAN BANK,DUBK,DUBK QD Equity,QA,Financials,Regional Banks
E7 GROUP PJSC,E7,E7 DH Equity,AE,Industrials,Commercial Printing
EAST PIPES INTEG,1321,EASTPIPE AB Equity,SA,Materials,Steel
EASTERN CEMENT,3080,EACCO AB Equity,SA,Materials,Construction Materials
ELECTRICAL INDUS,1303,EIC AB Equity,SA,Industrials,Electrical Components & Equipment
ELM CO,7203,ELM AB Equity,SA,Information Technology,IT Consulting & Other Services
EMAAR DEVELOPMEN,EMAARDEV,EMAARDEV DB Equity,AE,Real Estate,Real Estate Development
EMAAR ECONOMIC C,4220,EMAAR AB Equity,SA,Real Estate,Real Estate Development
EMAAR PROP PJSC,EMAAR,EMAAR DB Equity,AE,Real Estate,Real Estate Development
EMIRATES CENTRAL,EMPOWER,EMPOWER DB Equity,AE,Utilities,Water Utilities
EMIRATES INTEGRA,DU,DU DB Equity,AE,Communication Services,Integrated Telecommunication Services
EMIRATES NBD PJS,EMIRATESNBD,EMIRATES DB Equity,AE,Financials,Diversified Banks
EMSTEEL BUILDING,EMSTEEL,EMSTEEL DH Equity,AE,Materials,Construction Materials
ESHRAQ INVESTMEN,ESHRAQ,ESHRAQ DH Equity,AE,Real Estate,Real Estate Development
ESTITHMAR HOLDIN,IGRD,IGRD QD Equity,QA,Industrials,Construction & Engineering
ETIHAD ATHEEB TE,7040,EAT AB Equity,SA,Communication Services,Integrated Telecommunication Services
ETIHAD ETISALAT,7020,EEC AB Equity,SA,Communication Services,Wireless Telecommunication Services
ETISALAT,EAND,EAND DH Equity,AE,Communication Services,Integrated Telecommunication Services
EZDAN HOLDING GR,ERES,ERES QD Equity,QA,Real Estate,Real Estate Operating Companies
FAWAZ ABDULAZIZ,4240,CENOMI AB Equity,SA,Consumer Discretionary,Apparel Retail
FERTIGLOBE PLC,FERTIGLB,FERTIGLB DH Equity,AE,Materials,Fertilizers & Agricultural Chemicals
FILING & PACKING,2180,FIPCO AB Equity,SA,Materials,Paper & Plastic Packaging Products & Materials
FIRST ABU DHABI,FAB,FAB DH Equity,AE,Financials,Diversified Banks
FIRST MILLING CO,2283,FIRSTMIL AB Equity,SA,Consumer Staples,Packaged Foods & Meats
FITAIHI HOLDING,4180,AHFCO AB Equity,SA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
FOURTH MILLING C,2286,FOURTHMI AB Equity,SA,Consumer Staples,Packaged Foods & Meats
FUTURE CARE TRAD,9544,FUTURECA AB Equity,SA,Health Care,Health Care Services
GFH FINANCIAL GR,GFH,GFH BI Equity,BH,Financials,Investment Banking & Brokerage
GHITHA HOLDING P,GHITHA,GHITHA DH Equity,AE,Consumer Staples,Food Distributors
GULF BANK,GBK,GBK KK Equity,KW,Financials,Diversified Banks
GULF CABLES & EL,CABLE,CABLE KK Equity,KW,Industrials,Electrical Components & Equipment
GULF GENERAL COO,8260,GGCI AB Equity,SA,Financials,Property & Casualty Insurance
GULF INSURANCE G,8250,GIG AB Equity,SA,Financials,Multi-line Insurance
GULF INTERNATION,GISS,GISS QD Equity,QA,Energy,Oil & Gas Drilling
GULF NAVIGATION,GULFNAV,GULFNAV DB Equity,AE,Industrials,Marine Transportation
GULF UNION COOPE,8120,GULFUNI AB Equity,SA,Financials,Multi-line Insurance
GULF WAREHOUSING,GWCS,GWCS QD Equity,QA,Industrials,Air Freight & Logistics
HALWANI BROS CO,6001,HB AB Equity,SA,Consumer Staples,Packaged Foods & Meats
HEAVY ENGINEERIN,SHIP,SHIP KK Equity,KW,Energy,Oil & Gas Equipment & Services
HERFY FOOD SERVI,6002,HERFY AB Equity,SA,Consumer Discretionary,Restaurants
HUMANSOFT,HUMANSOFT,HUMANSFT KK Equity,KW,Consumer Discretionary,Education Services
IFA HOTELS & RES,IFAHR,IFAHR KK Equity,KW,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
INDUSTRIES QATAR,IQCD,IQCD QD Equity,QA,Industrials,Industrial Conglomerates
INTEGRATED HOLDI,INTEGRATED,INTEGRAT KK Equity,KW,Industrials,Trading Companies & Distributors
INTL FINANCIAL,IFA,IFA KK Equity,KW,Financials,Asset Management & Custody Banks
INVESTCORP CAPIT,ICAP,ICAP DH Equity,AE,Financials,Asset Management & Custody Banks
JABAL OMAR DEVEL,4250,JOMAR AB Equity,SA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
JAHEZ INTERNATIO,6017,JAHEZ AB Equity,SA,Consumer Discretionary,Restaurants
